CID,pose_index,docking_score,num_viable_poses,rmsd_pairwise_std,rmsd_to_best_std,MWT,TPSA,logP,HBD,HBA,SMILES
Z1127203562,1,-9.076,5,0.17659181538242172,0.16877147693255878,342.44299999999964,78.09,3.0333000000000014,2,3,[H]c1c([H])c([H])c2c(=O)n([H])c(C([H])([H])N(C(=O)N([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])nc2c1[H]
Z646214330,1,-9.076,5,0.31536814006478703,0.24894507457295986,338.40699999999964,56.52,4.657100000000003,1,5,[H]c1c([H])c(N([H])c2nc3c([H])c([H])c([H])c([H])c3o2)c([H])c(C([H])([H])OC([H])([H])C2([H])OC([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
Z1657744734,2,-9.052,5,0.3387614684527828,0.234982451166159,310.36099999999965,88.49000000000001,2.911900000000001,2,5,[H]c1c([H])c(C(=O)N([H])c2nc([H])n(C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n2)c2c(c([H])nn2[H])c1[H]
Z1274688759,1,-9.042,5,0.4500421835265002,0.4002649804771434,329.4639999999995,42.769999999999996,1.8034000000000001,2,2,[H]c1c([H])c([H])c(C(=O)N([H])C2([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C2([H])[H])[N+]3([H])C([H])([H])[H])c(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
Z1673780356,1,-9.033,5,0.21348151801299864,0.3023256666572177,300.3579999999996,64.36,3.3161000000000023,1,4,[H]c1noc(C([H])([H])N([H])C(=O)c2c([H])c([H])c([H])c([H])c2OC2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
Z89684168,3,-9.007,5,0.32991262113962067,0.18307684992999584,318.33999999999975,109.74,2.64808,2,7,[H]c1c([H])c([H])c(N([H])c2nc(N([H])[H])nc(C([H])([H])Oc3c([H])c([H])c([H])c([H])c3C#N)n2)c([H])c1[H]
Z1883550081,2,-9.003,8,0.3219749311289502,0.3240286103751883,317.3559999999997,91.41000000000001,3.543520000000001,3,6,[H]c1nc(N([H])c2c([H])c([H])c(N([H])c3nc(C([H])([H])[H])nc4c3c([H])c([H])n4[H])c([H])c2[H])nc([H])c1[H]
Z442313918,1,-8.993,10,0.25412726234179045,0.22950514923475548,318.33599999999973,90.79999999999998,3.0607800000000003,2,5,[H]c1c([H])c([H])c(N([H])c2nc(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c(C#N)c(=O)n2[H])c([H])c1[H]
Z2613622720,2,-8.947,6,0.3344968372300249,0.17884659288336296,328.3509999999998,78.96000000000001,2.2712000000000003,2,6,[H]c1c([H])c([H])c(N([H])c2nc(N3C([H])([H])C([H])([H])OC([H])(C([H])([H])F)C3([H])[H])nc3nc([H])n([H])c23)c([H])c1[H]
Z2610310359,2,-8.896,5,0.2766502841780294,0.28942895761210463,324.38799999999964,89.96000000000001,2.3052,3,6,[H]OC([H])([H])C1([H])C([H])([H])N(c2nc(N([H])c3c([H])c([H])c([H])c([H])c3[H])c3c(n2)nc([H])n3[H])C([H])([H])C([H])([H])C1([H])[H]
Z195569274,1,-8.882,5,0.37846496845229627,0.13882169896404423,378.4639999999997,110.17999999999999,0.4535000000000009,3,8,[H]c1nc(N2C([H])([H])C([H])([H])[N+]([H])(C([H])(c3nc(N([H])[H])nc(N([H])c4c([H])c([H])c([H])c([H])c4[H])n3)C([H])([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H]
Z3590543759,1,-8.844,7,0.3148689848314788,0.4198698988000734,342.78599999999983,68.52000000000001,3.4238000000000017,1,5,[H]c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])c3nnc([H])n3c2[H])c(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
Z30167053,1,-8.831,5,0.5407486605917496,0.8104751843461658,333.3909999999997,63.25,3.5204000000000013,2,4,[H]c1nc([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])Oc2c([H])c([H])c(N([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])c1[H]
Z3006954377,1,-8.779,6,0.3008883563413618,0.3292021045029524,319.7919999999997,67.01,3.721040000000003,2,3,[H]c1c([H])c(Cl)c(C(=O)N([H])c2c(C([H])([H])[H])c(C([H])([H])[H])nn2[H])c(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
Z1272453975,3,-8.775,5,0.31227127534686644,0.38304842790655125,348.36599999999976,101.75000000000001,3.5409000000000015,2,7,[H]c1nc(N([H])c2c([H])c([H])c(OC([H])([H])c3noc(C4([H])C([H])([H])C4([H])[H])n3)c([H])c2[H])c2c([H])c([H])n([H])c2n1
Z352550402,1,-8.728,6,0.3910947063099651,0.3226383230460133,309.3289999999997,91.93,2.5657999999999994,3,5,[H]c1c([H])c([H])c(N([H])c2c([H])c([H])c(OC([H])([H])C(=O)N([H])c3nnc([H])n3[H])c([H])c2[H])c([H])c1[H]
Z2684222059,1,-8.704,5,0.4091435402600296,0.5355318959833706,315.3969999999996,102.48999999999998,0.8436999999999997,3,3,[H]c1c([H])c([H])c2c(=O)n([H])c(C(=O)N([H])C([H])(C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])[N+]([H])([H])[H])nc2c1[H]
Z1139476087,1,-8.673,6,0.3778688008947393,0.39090742382902227,325.43999999999954,63.830000000000005,1.4088399999999994,2,4,[H]c1nc2c(nc(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C([H])([H])n3nc(C([H])([H])[H])c([H])c3C([H])([H])[H])n2[H])c([H])c1[H]
Z48858335,1,-8.673,6,0.5268181411151851,0.5389883993654129,315.44199999999967,54.02,4.448420000000003,2,4,[H]c1c([H])c([H])c(N([H])C(=O)c2sc(N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc2C([H])([H])[H])c([H])c1[H]
Z57346758,2,-8.611,6,0.30774795610576205,0.09531872048801367,310.3569999999997,79.3,2.786200000000001,3,6,[H]OC([H])([H])C([H])([H])N([H])c1nc(N([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])nc2c([H])c([H])c([H])c([H])c12
Z1627224447,2,-8.605,5,0.43962509987552034,0.6070320216178448,315.3579999999998,99.77,2.3491,3,5,[H]c1nc(N([H])c2c([H])c([H])c([H])c([H])c2[H])c(N([H])S(=O)(=O)c2nc([H])n([H])c2[H])c([H])c1[H]
Z1212723352,1,-8.597,7,0.5137189679867009,0.6645924273090233,327.73499999999984,105.41000000000001,2.668399999999999,2,7,[H]c1nc(N([H])C([H])([H])c2nc(-c3c([H])c([H])c(Cl)c([H])c3[H])no2)c2c(n1)nc([H])n2[H]
Z2654643499,1,-8.597,8,0.4371638152211644,0.543590049351836,311.4529999999995,42.25,2.4216999999999995,2,3,[H]c1c([H])c([H])c2c([H])nc(N([H])C3([H])C([H])([H])C([H])([H])C([H])([N+]4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C3([H])[H])nc2c1[H]
Z321303522,3,-8.584,5,0.4982746357766809,0.6887583102146827,336.3909999999996,63.35,3.9780000000000024,2,3,[H]c1c([H])c(OC([H])([H])C2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c(N([H])C(=O)c2c([H])c3c([H])c([H])c([H])c([H])c3n2[H])c1[H]
Z1570962597,1,-8.557,5,0.389052825989657,0.4070464074714776,310.36499999999967,95.51,1.4714,2,7,[H]c1nc(N([H])C([H])([H])C2([H])C([H])([H])N(c3nc([H])c([H])c([H])n3)C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc([H])n2[H]
Z2611810317,2,-8.534,5,0.36457318370768793,0.3204312562437324,324.38799999999964,78.96,2.5692000000000004,2,6,[H]c1c([H])c([H])c(N([H])c2nc(N3C([H])([H])C([H])([H])C([H])(C([H])([H])OC([H])([H])[H])C3([H])[H])nc3nc([H])n([H])c23)c([H])c1[H]
Z646130978,2,-8.528,5,0.2053265529646305,0.20703053117686054,326.3599999999997,96.03,1.4319999999999995,2,6,[H]c1nc(N([H])C([H])([H])c2c([H])c([H])c([H])c(OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])c2[H])c2c(n1)nc([H])n2[H]
Z2994634090,2,-8.519,5,0.36552980454583034,0.0761449738027956,332.78699999999975,60.45,3.7847000000000017,1,4,[H]c1nc([H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2OC([H])([H])C2([H])C([H])([H])C2([H])[H])c(OC([H])([H])[H])c1[H]
Z25402869,3,-8.493,5,0.38489070618483856,0.2204617010051616,396.5409999999998,66.91,4.567600000000003,2,6,[H]c1c([H])c([H])c(N([H])c2nnc(SC([H])([H])C(=O)N([H])C3([H])c4c([H])c([H])c([H])c([H])c4C([H])([H])C([H])([H])C3([H])[H])s2)c([H])c1[H]
