CID,pose_index,docking_score,rmsd_to_best_selected,MWT,TPSA,logP,HBD,HBA,SMILES
Z3950664500,2,-9.311,1.535095850563162,348.4059999999998,76.14,4.819200000000003,2,5,[H]c1c([H])c(N([H])c2nc(C3([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1N([H])C(=O)OC([H])([H])C([H])([H])[H]
Z56890527,7,-9.283,0.26601722488538393,307.3569999999997,83.56,2.6439200000000005,2,5,[H]c1c([H])c([H])c2c(C([H])([H])[H])nc(N([H])c3nc4c(c(=O)n3[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])nc2c1[H]
Z57110395,7,-9.283,1.2319351406534558,340.3619999999998,77.94,3.403900000000001,1,5,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(C(=O)[O-])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z1657740785,1,-9.276,0.0,337.38699999999966,101.38,2.8207000000000004,2,6,[H]c1nc(-c2c([H])c([H])c([H])c(C(=O)N([H])c3nc([H])n(C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])n3)c2[H])n([H])n1
76328458,3,-9.256,1.6760264529844342,323.3999999999996,89.71,3.5612000000000013,2,5,[H]c1c([H])c([H])c(-c2nc3nc(N([H])[H])nc(OC([H])([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c3n2[H])c([H])c1[H]
Z3950664500,3,-9.238,1.53984575444497,348.4059999999998,76.14,4.819200000000003,2,5,[H]c1c([H])c(N([H])c2nc(C3([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1N([H])C(=O)OC([H])([H])C([H])([H])[H]
5329559,5,-9.23,1.6502935834126984,375.83499999999975,75.72,4.848100000000002,2,5,[H]c1c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c([H])c(Cl)c1F
Z56854611,2,-9.229,0.7822147525121165,320.3959999999997,50.28,3.5184200000000025,1,5,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N([H])c1nc(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c2c([H])c([H])c([H])c([H])c2n1
5329573,1,-9.208,0.0,362.4369999999996,99.50999999999999,4.121680000000002,2,6,[H]c1c([H])c(C([H])([H])C#N)c([H])c([H])c1N([H])c1nc(OC([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc([H])n2[H]
Z107740192,3,-9.202,1.362514933281094,438.52799999999974,95.74000000000001,4.799680000000004,1,6,[H]c1c([H])c(S(=O)(=O)C([H])(C#N)c2nc3c([H])c([H])c([H])c([H])c3nc2N([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1F
Z56890527,9,-9.193,0.3480155630312032,307.3569999999997,83.56,2.6439200000000005,2,5,[H]c1c([H])c([H])c2c(C([H])([H])[H])nc(N([H])c3nc4c(c(=O)n3[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])nc2c1[H]
Z1198960055,2,-9.188,0.0,322.3639999999997,67.43,3.2223000000000015,2,3,[H]c1c([H])c([H])c(C(=O)N([H])c2c([H])c([H])c3c(c2[H])C([H])([H])C(=O)N3[H])c(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
46927371,5,-9.184,1.621395659662693,408.50599999999963,88.19000000000001,3.953020000000002,2,7,[H]c1c([H])c(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c(C([H])([H])[H])c1N([H])c1nc(OC2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc([H])n2[H]
Z1576583090,3,-9.162,1.1046774729490583,325.3719999999997,84.83,2.7216000000000005,2,6,[H]c1c([H])c(OC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(N([H])c2nc3c(c([H])nn3C([H])([H])[H])c(=O)n2[H])c1[H]
Z168978470,1,-9.16,0.0,307.3569999999997,85.95,3.3374000000000006,2,6,[H]c1c([H])c([H])c(OC([H])(c2nc(N([H])[H])nc(N([H])c3c([H])c([H])c([H])c([H])c3[H])n2)C([H])([H])[H])c([H])c1[H]
Z94803042,9,-9.159,1.764051858959788,340.38599999999974,80.9,4.139300000000002,2,4,[H]c1c([H])c([H])c(-c2nc(N([H])c3c([H])c([H])c(C(=O)N([H])[H])c([H])c3[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
49863196,1,-9.156,0.0,309.37299999999965,76.58000000000001,3.3740000000000014,1,5,[H]c1nc(OC([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc(-c1c([H])nc([H])c([H])c1[H])n2[H]
Z218103890,1,-9.155,0.0,423.49299999999965,90.92,2.090799999999999,2,6,[H]c1c([H])c([H])c(N([H])C(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])c3nc(C([H])([H])Oc4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)C2([H])[H])c([H])c1[H]
Z91647328,3,-9.155,0.0,321.3839999999997,85.95,3.3932400000000023,2,6,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1OC([H])([H])c1nc(N([H])[H])nc(N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])n1
123953120,5,-9.154,1.274123361795796,342.3979999999997,76.97,3.613800000000002,2,4,[H]c1c([H])c(N([H])c2nc3nc([H])n([H])c3c(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[n+]2[H])c([H])c([H])c1F
Z645226424,5,-9.134,1.6304964103514508,332.36699999999973,88.61,2.939,2,6,[H]c1nc(N([H])C([H])([H])c2c([H])c([H])c([H])c(OC([H])([H])c3nc([H])c([H])c([H])c3[H])c2[H])c2c(n1)nc([H])n2[H]
Z91661383,1,-9.134,0.0,350.3819999999997,129.04000000000002,2.18372,3,7,[H]c1c([H])c([H])c(C(=O)N([H])[H])c(OC([H])([H])c2nc(N([H])[H])nc(N([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])n2)c1[H]
Z24682342,6,-9.133,0.5916827745427644,364.4739999999997,58.120000000000005,4.087900000000003,1,5,[H]c1c([H])c([H])c(N([H])c2nc(SC([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z1657740785,2,-9.121,0.6731070921118842,337.38699999999966,101.38,2.8207000000000004,2,6,[H]c1nc(-c2c([H])c([H])c([H])c(C(=O)N([H])c3nc([H])n(C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])n3)c2[H])n([H])n1
Z4521998795,3,-9.119,0.9419227202035425,319.36399999999975,74.85,2.9113000000000007,2,3,[H]c1c([H])c([H])c(C2([H])C([H])(C(=O)N([H])c3c([H])c([H])c([H])c4c(=O)nc([H])n([H])c34)C2([H])C([H])([H])[H])c([H])c1[H]
Z1526896036,1,-9.115,0.0,325.4159999999996,84.14,2.5387400000000007,2,5,[H]c1c(C([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c(N3C([H])([H])C([H])([H])C([H])(C(=O)N([H])[H])C([H])([H])C3([H])[H])c2[H])nc1C([H])([H])[H]
Z2996605995,1,-9.115,0.0,330.81499999999966,51.22,4.392940000000003,1,3,[H]c1c(C([H])([H])[H])nc(C([H])([H])[H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
Z24682342,7,-9.113,1.2124782834822279,364.4739999999997,58.120000000000005,4.087900000000003,1,5,[H]c1c([H])c([H])c(N([H])c2nc(SC([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
Z31409736,1,-9.101,0.0,366.4609999999997,67.43,3.9006000000000025,2,3,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c(N([H])C(=O)C([H])([H])N([H])C(=O)C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])c1[H]
Z91661383,2,-9.101,1.2559524858790454,350.3819999999997,129.04000000000002,2.18372,3,7,[H]c1c([H])c([H])c(C(=O)N([H])[H])c(OC([H])([H])c2nc(N([H])[H])nc(N([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])n2)c1[H]
Z1526896036,2,-9.099,0.3988409644043529,325.4159999999996,84.14,2.5387400000000007,2,5,[H]c1c(C([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c(N3C([H])([H])C([H])([H])C([H])(C(=O)N([H])[H])C([H])([H])C3([H])[H])c2[H])nc1C([H])([H])[H]
COLIG_2A6,3,-9.086,1.2843551680755547,323.39999999999964,75.72,4.055600000000003,2,5,[H]c1c([H])c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c([H])c1[H]
